Seeded run: seed=0
Initializing SACRED Stage-2 HYBRID (assignment + next-hop routing, static demand)...
Hybrid: forcing --preseed-buffer False.
Configuring Protagonist Dispatch Agent...
Frozen protagonist from models/runs/gen05_hybrid_matrix/hybrid_scripted_seed0/snapshots/protagonist_ep350.pt (node_in_dim=13, edge_in_dim=4).
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen05_hybrid_matrix/br_scripted_s0_seed0
Starting SACRED training (mode=antagonist_only) for 300 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training ANTAGONIST

Ep    1 | Phase: ANTAGON | Ticks: 799 | Protag R: -5308.00 | Antag R: 5158.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    2 | Phase: ANTAGON | Ticks: 798 | Protag R: -5101.00 | Antag R: 4951.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    3 | Phase: ANTAGON | Ticks: 799 | Protag R: -5393.00 | Antag R: 5243.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    4 | Phase: ANTAGON | Ticks: 796 | Protag R: -5277.00 | Antag R: 5127.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    5 | Phase: ANTAGON | Ticks: 799 | Protag R: -5092.00 | Antag R: 4942.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep    6 | Phase: ANTAGON | Ticks: 798 | Protag R: -5042.00 | Antag R: 4892.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    7 | Phase: ANTAGON | Ticks: 798 | Protag R: -5725.00 | Antag R: 5575.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep    8 | Phase: ANTAGON | Ticks: 798 | Protag R: -4850.00 | Antag R: 4700.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep    9 | Phase: ANTAGON | Ticks: 798 | Protag R: -4683.00 | Antag R: 4533.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   10 | Phase: ANTAGON | Ticks: 799 | Protag R: -5841.00 | Antag R: 5691.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   11 | Phase: ANTAGON | Ticks: 798 | Protag R: -5031.00 | Antag R: 4881.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   12 | Phase: ANTAGON | Ticks: 799 | Protag R: -5882.00 | Antag R: 5732.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   13 | Phase: ANTAGON | Ticks: 798 | Protag R: -5737.00 | Antag R: 5587.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   14 | Phase: ANTAGON | Ticks: 799 | Protag R: -4744.00 | Antag R: 4594.00 | Delivery:  62.5% | Budget Used: 1500.00/1500.0
Ep   15 | Phase: ANTAGON | Ticks: 799 | Protag R: -5749.00 | Antag R: 5599.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   16 | Phase: ANTAGON | Ticks: 799 | Protag R: -5331.00 | Antag R: 5181.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   17 | Phase: ANTAGON | Ticks: 799 | Protag R: -5778.00 | Antag R: 5628.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   18 | Phase: ANTAGON | Ticks: 799 | Protag R: -5389.00 | Antag R: 5239.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   19 | Phase: ANTAGON | Ticks: 798 | Protag R: -5832.00 | Antag R: 5682.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   20 | Phase: ANTAGON | Ticks: 799 | Protag R: -5141.00 | Antag R: 4991.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   21 | Phase: ANTAGON | Ticks: 799 | Protag R: -5656.00 | Antag R: 5506.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   22 | Phase: ANTAGON | Ticks: 799 | Protag R: -5530.00 | Antag R: 5380.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   23 | Phase: ANTAGON | Ticks: 799 | Protag R: -5434.00 | Antag R: 5284.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   24 | Phase: ANTAGON | Ticks: 799 | Protag R: -4720.00 | Antag R: 4570.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   25 | Phase: ANTAGON | Ticks: 799 | Protag R: -5168.00 | Antag R: 5018.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   26 | Phase: ANTAGON | Ticks: 798 | Protag R: -5392.00 | Antag R: 5242.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   27 | Phase: ANTAGON | Ticks: 797 | Protag R: -5111.00 | Antag R: 4961.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   28 | Phase: ANTAGON | Ticks: 799 | Protag R: -4918.00 | Antag R: 4768.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   29 | Phase: ANTAGON | Ticks: 799 | Protag R: -4804.00 | Antag R: 4654.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   30 | Phase: ANTAGON | Ticks: 797 | Protag R: -5257.00 | Antag R: 5107.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   31 | Phase: ANTAGON | Ticks: 797 | Protag R: -5643.00 | Antag R: 5493.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   32 | Phase: ANTAGON | Ticks: 798 | Protag R: -5358.00 | Antag R: 5208.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   33 | Phase: ANTAGON | Ticks: 799 | Protag R: -5461.00 | Antag R: 5311.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   34 | Phase: ANTAGON | Ticks: 797 | Protag R: -5253.00 | Antag R: 5103.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   35 | Phase: ANTAGON | Ticks: 797 | Protag R: -5656.00 | Antag R: 5506.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   36 | Phase: ANTAGON | Ticks: 799 | Protag R: -5133.00 | Antag R: 4983.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
Ep   37 | Phase: ANTAGON | Ticks: 797 | Protag R: -5844.00 | Antag R: 5694.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   38 | Phase: ANTAGON | Ticks: 798 | Protag R: -5402.00 | Antag R: 5252.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   39 | Phase: ANTAGON | Ticks: 799 | Protag R: -6057.00 | Antag R: 5907.00 | Delivery:  12.5% | Budget Used: 1500.00/1500.0
Ep   40 | Phase: ANTAGON | Ticks: 798 | Protag R: -5586.00 | Antag R: 5436.00 | Delivery:  25.0% | Budget Used: 1500.00/1500.0
Ep   41 | Phase: ANTAGON | Ticks: 799 | Protag R: -5301.00 | Antag R: 5151.00 | Delivery:  37.5% | Budget Used: 1500.00/1500.0
Ep   42 | Phase: ANTAGON | Ticks: 799 | Protag R: -4941.00 | Antag R: 4791.00 | Delivery:  50.0% | Budget Used: 1500.00/1500.0
