Seeded run: seed=0
Initializing SACRED Stage-1.5 dynamic assignment (Poisson arrivals, 2 trucks)...
Configuring Protagonist Dispatch Agent...
Configuring Antagonist Congestion Agent...
Initializing ATLA Coevolution Trainer...
Run Name: gen06_dynassign_matrix/vanilla_seed0
Starting SACRED training (mode=vanilla) for 800 episodes...
Device: Protagonist=cpu, Antagonist=cpu
Initial Phase: Training PROTAGONIST

Ep    1 | Phase: PROTAGO | Ticks: 790 | Protag R: -7192.00 | Antag R: 7193.00 | Delivery:  66.0% | Budget Used:  0.00/4000.0
Ep    2 | Phase: PROTAGO | Ticks: 794 | Protag R: -7220.00 | Antag R: 7221.00 | Delivery:  68.1% | Budget Used:  0.00/4000.0
Ep    3 | Phase: PROTAGO | Ticks: 787 | Protag R: -8197.00 | Antag R: 8198.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
Ep    4 | Phase: PROTAGO | Ticks: 798 | Protag R: -6906.00 | Antag R: 6907.00 | Delivery:  72.1% | Budget Used:  0.00/4000.0
Ep    5 | Phase: PROTAGO | Ticks: 798 | Protag R: -5669.00 | Antag R: 5669.00 | Delivery:  60.4% | Budget Used:  0.00/4000.0
Ep    6 | Phase: PROTAGO | Ticks: 795 | Protag R: -6850.00 | Antag R: 6851.00 | Delivery:  64.0% | Budget Used:  0.00/4000.0
Ep    7 | Phase: PROTAGO | Ticks: 790 | Protag R: -5910.00 | Antag R: 5911.00 | Delivery:  64.6% | Budget Used:  0.00/4000.0
Ep    8 | Phase: PROTAGO | Ticks: 779 | Protag R: -6193.00 | Antag R: 6194.00 | Delivery:  63.8% | Budget Used:  0.00/4000.0
Ep    9 | Phase: PROTAGO | Ticks: 782 | Protag R: -7723.00 | Antag R: 7723.00 | Delivery:  61.2% | Budget Used:  0.00/4000.0
Ep   10 | Phase: PROTAGO | Ticks: 792 | Protag R: -7387.00 | Antag R: 7387.00 | Delivery:  60.0% | Budget Used:  0.00/4000.0
Ep   11 | Phase: PROTAGO | Ticks: 786 | Protag R: -7013.00 | Antag R: 7014.00 | Delivery:  69.6% | Budget Used:  0.00/4000.0
